Roman PC Build - Formula Build Sheet,,,,,,,,,,,,
Rates,,,,,,,,,,,,
HUF per EUR,352.88,,,,,,,,,,,
HUF per UAH,6.8,,,,,,,,,,,
,,,,,,,,,,,,
Build,Line_Type,Order,Category,Selected_ID,HU_Compare_ID,Part,Market,Store,HUF,EUR,UAH,Saving_vs_HU,Comment
Main 64GB No GPU,Total,99,TOTAL,,,Total build cost,,,=SUM($J$7:$J$14),=SUM($K$7:$K$14),=SUM($L$7:$L$14),=SUM($M$7:$M$14),Estimated total from selected IDs
Main 64GB No GPU,Note,100,NOTE,,,,,,,,,,First purchase works with integrated graphics; GPU delayed.
,,,,,,,,,,,,,
Budget 32GB No GPU,Part,1,CPU,CPU_01_HU,,"=IF($E18="""","""",XLOOKUP($E18,Parts!$A:$A,Parts!$D:$D,""""))","=IF($E18="""","""",XLOOKUP($E18,Parts!$A:$A,Parts!$E:$E,""""))","=IF($E18="""","""",XLOOKUP($E18,Parts!$A:$A,Parts!$F:$F,""""))","=IF($E18="""","""",XLOOKUP($E18,Parts!$A:$A,Parts!$I:$I,""""))","=IF($J18="""","""",$J18/$B$3)","=IF($J18="""","""",$J18/$B$4)","=IF($F18="""","""",MAX(0,XLOOKUP($F18,Parts!$A:$A,Parts!$I:$I,0)-$J18))","=IF($E18="""","""",XLOOKUP($E18,Parts!$A:$A,Parts!$L:$L,""""))"
Budget 32GB No GPU,Part,2,Motherboard,MB_01_HU,,"=IF($E19="""","""",XLOOKUP($E19,Parts!$A:$A,Parts!$D:$D,""""))","=IF($E19="""","""",XLOOKUP($E19,Parts!$A:$A,Parts!$E:$E,""""))","=IF($E19="""","""",XLOOKUP($E19,Parts!$A:$A,Parts!$F:$F,""""))","=IF($E19="""","""",XLOOKUP($E19,Parts!$A:$A,Parts!$I:$I,""""))","=IF($J19="""","""",$J19/$B$3)","=IF($J19="""","""",$J19/$B$4)","=IF($F19="""","""",MAX(0,XLOOKUP($F19,Parts!$A:$A,Parts!$I:$I,0)-$J19))","=IF($E19="""","""",XLOOKUP($E19,Parts!$A:$A,Parts!$L:$L,""""))"
Budget 32GB No GPU,Part,3,RAM,RAM_04_PL,RAM_04_HU,"=IF($E20="""","""",XLOOKUP($E20,Parts!$A:$A,Parts!$D:$D,""""))","=IF($E20="""","""",XLOOKUP($E20,Parts!$A:$A,Parts!$E:$E,""""))","=IF($E20="""","""",XLOOKUP($E20,Parts!$A:$A,Parts!$F:$F,""""))","=IF($E20="""","""",XLOOKUP($E20,Parts!$A:$A,Parts!$I:$I,""""))","=IF($J20="""","""",$J20/$B$3)","=IF($J20="""","""",$J20/$B$4)","=IF($F20="""","""",MAX(0,XLOOKUP($F20,Parts!$A:$A,Parts!$I:$I,0)-$J20))","=IF($E20="""","""",XLOOKUP($E20,Parts!$A:$A,Parts!$L:$L,""""))"
Budget 32GB No GPU,Part,4,SSD,SSD_01_PL,SSD_01_HU,"=IF($E21="""","""",XLOOKUP($E21,Parts!$A:$A,Parts!$D:$D,""""))","=IF($E21="""","""",XLOOKUP($E21,Parts!$A:$A,Parts!$E:$E,""""))","=IF($E21="""","""",XLOOKUP($E21,Parts!$A:$A,Parts!$F:$F,""""))","=IF($E21="""","""",XLOOKUP($E21,Parts!$A:$A,Parts!$I:$I,""""))","=IF($J21="""","""",$J21/$B$3)","=IF($J21="""","""",$J21/$B$4)","=IF($F21="""","""",MAX(0,XLOOKUP($F21,Parts!$A:$A,Parts!$I:$I,0)-$J21))","=IF($E21="""","""",XLOOKUP($E21,Parts!$A:$A,Parts!$L:$L,""""))"
Budget 32GB No GPU,Part,5,PSU,PSU_01_HU,,"=IF($E22="""","""",XLOOKUP($E22,Parts!$A:$A,Parts!$D:$D,""""))","=IF($E22="""","""",XLOOKUP($E22,Parts!$A:$A,Parts!$E:$E,""""))","=IF($E22="""","""",XLOOKUP($E22,Parts!$A:$A,Parts!$F:$F,""""))","=IF($E22="""","""",XLOOKUP($E22,Parts!$A:$A,Parts!$I:$I,""""))","=IF($J22="""","""",$J22/$B$3)","=IF($J22="""","""",$J22/$B$4)","=IF($F22="""","""",MAX(0,XLOOKUP($F22,Parts!$A:$A,Parts!$I:$I,0)-$J22))","=IF($E22="""","""",XLOOKUP($E22,Parts!$A:$A,Parts!$L:$L,""""))"
Budget 32GB No GPU,Part,6,Cooler,COOL_01_HU,,"=IF($E23="""","""",XLOOKUP($E23,Parts!$A:$A,Parts!$D:$D,""""))","=IF($E23="""","""",XLOOKUP($E23,Parts!$A:$A,Parts!$E:$E,""""))","=IF($E23="""","""",XLOOKUP($E23,Parts!$A:$A,Parts!$F:$F,""""))","=IF($E23="""","""",XLOOKUP($E23,Parts!$A:$A,Parts!$I:$I,""""))","=IF($J23="""","""",$J23/$B$3)","=IF($J23="""","""",$J23/$B$4)","=IF($F23="""","""",MAX(0,XLOOKUP($F23,Parts!$A:$A,Parts!$I:$I,0)-$J23))","=IF($E23="""","""",XLOOKUP($E23,Parts!$A:$A,Parts!$L:$L,""""))"
Budget 32GB No GPU,Part,7,Case,CASE_01_HU,,"=IF($E24="""","""",XLOOKUP($E24,Parts!$A:$A,Parts!$D:$D,""""))","=IF($E24="""","""",XLOOKUP($E24,Parts!$A:$A,Parts!$E:$E,""""))","=IF($E24="""","""",XLOOKUP($E24,Parts!$A:$A,Parts!$F:$F,""""))","=IF($E24="""","""",XLOOKUP($E24,Parts!$A:$A,Parts!$I:$I,""""))","=IF($J24="""","""",$J24/$B$3)","=IF($J24="""","""",$J24/$B$4)","=IF($F24="""","""",MAX(0,XLOOKUP($F24,Parts!$A:$A,Parts!$I:$I,0)-$J24))","=IF($E24="""","""",XLOOKUP($E24,Parts!$A:$A,Parts!$L:$L,""""))"
